時間戳記,姓名,年齡,性別,家庭台語背景,臺語程度（口語）,臺語程度（書面）,聲音判斷依據（開放題）,1_呈現順序,1_回答結果,1_選項文字,1_回答時間毫秒,2_呈現順序,2_回答結果,2_選項文字,2_回答時間毫秒,3_呈現順序,3_回答結果,3_選項文字,3_回答時間毫秒,4_呈現順序,4_回答結果,4_選項文字,4_回答時間毫秒,5_呈現順序,5_回答結果,5_選項文字,5_回答時間毫秒,6_呈現順序,6_回答結果,6_選項文字,6_回答時間毫秒,7_呈現順序,7_回答結果,7_選項文字,7_回答時間毫秒,8_呈現順序,8_回答結果,8_選項文字,8_回答時間毫秒,9_呈現順序,9_回答結果,9_選項文字,9_回答時間毫秒,10_呈現順序,10_回答結果,10_選項文字,10_回答時間毫秒,11_呈現順序,11_回答結果,11_選項文字,11_回答時間毫秒,12_呈現順序,12_回答結果,12_選項文字,12_回答時間毫秒,13_呈現順序,13_回答結果,13_選項文字,13_回答時間毫秒,14_呈現順序,14_回答結果,14_選項文字,14_回答時間毫秒,15_呈現順序,15_回答結果,15_選項文字,15_回答時間毫秒,16_呈現順序,16_回答結果,16_選項文字,16_回答時間毫秒,17_呈現順序,17_回答結果,17_選項文字,17_回答時間毫秒,18_呈現順序,18_回答結果,18_選項文字,18_回答時間毫秒,19_呈現順序,19_回答結果,19_選項文字,19_回答時間毫秒,20_呈現順序,20_回答結果,20_選項文字,20_回答時間毫秒,21_呈現順序,21_回答結果,21_選項文字,21_回答時間毫秒,22_呈現順序,22_回答結果,22_選項文字,22_回答時間毫秒,23_呈現順序,23_回答結果,23_選項文字,23_回答時間毫秒,24_呈現順序,24_回答結果,24_選項文字,24_回答時間毫秒,25_呈現順序,25_回答結果,25_選項文字,25_回答時間毫秒,26_呈現順序,26_回答結果,26_選項文字,26_回答時間毫秒,27_呈現順序,27_回答結果,27_選項文字,27_回答時間毫秒,28_呈現順序,28_回答結果,28_選項文字,28_回答時間毫秒,29_呈現順序,29_回答結果,29_選項文字,29_回答時間毫秒,30_呈現順序,30_回答結果,30_選項文字,30_回答時間毫秒
2026/3/28,,26–35,男,在家聽得懂台語，但不會說,對話流利,書寫/閱讀臺語文無礙,憑直覺,28,1,1,110,9,1,1,323,1,1,1,838,22,1,1,573,8,3,3,610,14,3,3,707,18,2,2,761,10,1,1,658,12,2,2,663,20,1,1,962,13,3,3,527,17,3,3,632,19,3,3,355,2,3,3,918,4,3,3,2778,26,3,3,4495,29,3,3,534,15,2,2,191,3,1,1,7253,23,3,3,669,6,4,4,594,25,5,5,706,16,3,3,689,11,5,5,506,24,4,4,675,7,5,5,1009,21,5,5,645,27,4,4,2456,5,5,5,752,30,5,5,393
2026/3/28,,26–35,女,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,長期跟長輩講台語的直覺,28,2,2,3953,3,2,2,10224,19,4,4,9615,24,2,2,605,1,2,2,1866,10,4,4,608,23,2,2,503,20,2,2,1131,27,2,2,742,2,2,2,600,5,2,2,579,17,4,4,540,18,2,2,631,29,2,2,558,11,4,4,1106,9,2,2,556,26,4,4,488,13,2,2,2900,21,3,3,2493,4,2,2,1120,7,4,4,631,30,4,4,806,25,4,4,470,15,4,4,585,6,4,4,2887,12,4,4,923,16,4,4,274,22,4,4,1176,8,4,4,640,14,1,1,600
2026/3/28,,26–35,男,家裡以台語為主要語言，從小聽與說,對話流利,書寫/閱讀臺語文無礙,左側聽起來都是一個人講、右側聽起來都是兩個人講；有明確哪個更好的，通常是語意不合邏輯或不符合現實，只有極少數在文法上也感覺不成立。或許有些和慣用用語的結構有關係。,13,1,1,838,19,1,1,501,1,2,2,2649,26,1,1,1360,22,1,1,674,27,3,3,893,25,1,1,843,18,1,1,2076,24,3,3,712,21,1,1,3607,3,1,1,1739,17,2,2,597,16,3,3,521,29,1,1,573,23,3,3,1609,2,3,3,1806,14,3,3,528,28,2,2,1172,20,2,2,3252,10,1,1,607,5,4,4,5343,4,3,3,523,30,4,4,491,15,5,5,2440,8,5,5,571,12,5,5,600,11,5,5,472,6,5,5,14641,7,4,4,3446,9,5,5,380
2026/3/28,,26–35,男,在家聽得懂台語，但不會說,可溝通，但不順暢,有大概學過讀寫臺語文，但不常實際使用,很看家庭背景，不過生長過程中，會學習到他人的口音，我認為口音的多樣性來自這裡。謝謝,12,3,3,142,29,3,3,53,16,3,3,34,13,3,3,1648,1,5,5,2302,8,3,3,628,15,3,3,435,22,4,4,587,3,5,5,67,9,3,3,142,14,3,3,34,5,4,4,472,21,3,3,641,17,3,3,413,7,4,4,1187,25,3,3,932,28,3,3,1024,11,3,3,733,6,3,3,904,10,3,3,1209,20,3,3,544,18,3,3,570,2,5,5,1103,19,4,4,359,23,4,4,309,24,4,4,457,4,3,3,1734,30,3,3,2092,27,4,4,875,26,3,3,441
2026/3/28,,18–25,男,家裡以台語為主要語言，從小聽與說,對話流利,書寫/閱讀臺語文無礙,語意、習慣,1,2,2,1817,21,2,2,617,28,1,1,449,14,2,2,1073,15,2,2,426,19,3,3,7319,11,1,1,562,17,1,1,592,6,1,1,106852,23,1,1,778,7,3,3,863,30,2,2,1446,9,3,3,2573,16,1,1,419,18,3,3,4811,12,3,3,521,5,3,3,2089,27,3,3,447,2,2,2,1320,26,3,3,481,29,4,4,1973,13,4,4,651,4,4,4,248,20,5,5,595,24,4,4,531,25,4,4,401,10,5,5,2578,8,5,5,629,22,5,5,1063,3,5,5,115434
2026/3/28,,26–35,男,家裡不太講台語，長大後才學會,可溝通，但不順暢,有大概學過讀寫臺語文，但不常實際使用,,9,3,3,477,5,2,2,1143,8,2,2,345,22,2,2,966,3,2,2,3251,20,3,3,2595,28,2,2,421,27,3,3,515,23,4,4,1102,13,3,3,444,10,3,3,4872,24,4,4,1915,16,3,3,242,25,3,3,431,21,2,2,817,15,3,3,147,6,3,3,487,14,3,3,421,30,1,1,522,1,3,3,8653,12,1,1,2073,29,3,3,601,26,2,2,365,19,3,3,374,7,4,4,296,17,3,3,719,11,4,4,412,18,3,3,655,2,2,2,6146,4,3,3,319
2026/3/28,,26–35,男,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,有大概學過讀寫臺語文，但不常實際使用,明明是一樣的句構，但說不上來為什麼有時選Ａ有時選Ｂ，體感上就是有點差異，又有時也分不出來哪個比較對，滿有趣的,5,3,3,760,17,2,2,394,29,2,2,314,11,2,2,22289,20,2,2,365,22,2,2,244,3,4,4,8953,30,2,2,337,6,4,4,135,28,2,2,252,14,4,4,535,18,2,2,369,16,2,2,407,25,2,2,347,8,2,2,1288,19,4,4,721,2,2,2,2175,27,4,4,251,1,2,2,72744,10,3,3,587,13,2,2,170,7,4,4,415,15,2,2,320,4,3,3,555,12,3,3,462,26,4,4,404,9,3,3,2993,21,3,3,519,24,4,4,8041,23,3,3,494
2026/3/28,,18–25,男,家裡以台語為主要語言，從小聽與說,對話流利,書寫/閱讀臺語文無礙,,28,1,1,54038,29,1,1,375,24,2,2,332,8,1,1,741,22,1,1,357,17,3,3,384,13,1,1,86,2,1,1,716,25,3,3,530,26,4,4,17016,27,3,3,228,12,1,1,376,4,3,3,1160,9,1,1,568,23,1,1,2216,15,3,3,382,20,3,3,3352,30,1,1,6267,5,1,1,606,14,1,1,414,21,2,2,13152,10,3,3,4523,16,3,3,330,11,3,3,451,19,5,5,321,3,5,5,570,7,5,5,643,6,4,4,10194,1,4,4,14103,18,3,3,132
2026/3/28,,26–35,男,家裡不太講台語，長大後才學會,可溝通，但不順暢,有大概學過讀寫臺語文，但不常實際使用,知道兩者的區別，依照直覺選擇，但肚子太餓了，可能血糖有點低，語音資訊一進入腦袋就變得無法判斷,5,4,4,5402,14,4,4,4812,8,2,2,23361,4,4,4,12772,21,1,1,1104,26,3,3,53,15,1,1,142924,22,2,2,5582,10,3,3,1023,19,1,1,2033,3,4,4,248250,12,1,1,242,2,2,2,43263,6,3,3,5990,23,1,1,5636,1,3,3,15251,25,3,3,4640,13,1,1,1355,30,3,3,20742,17,2,2,1325,20,3,3,15128,11,4,4,696,27,3,3,301,29,3,3,9450,9,1,1,3601,7,5,5,3228,28,5,5,1767,16,4,4,3397,24,3,3,434,18,3,3,348
2026/3/28,,26–35,男,家裡不太講台語，長大後才學會,聽得懂，但不太會說,有大概學過讀寫臺語文，但不常實際使用,"方向性
A → B = 共 ka7
A →← B = 佮 kah",12,1,1,421,14,1,1,14850,21,2,2,5814,7,1,1,373,1,1,1,4517,19,2,2,8901,13,2,2,1321,30,2,2,471,26,2,2,1551,24,1,1,4103,5,2,2,6707,20,2,2,376,9,2,2,1039,4,1,1,439,2,3,3,64308,27,5,5,708,10,3,3,7948,16,4,4,4677,6,3,3,518,3,1,1,1298,23,5,5,4720,28,5,5,342,29,3,3,432,8,5,5,3657,18,4,4,11901,25,5,5,399,11,1,1,884,15,4,4,12020,17,5,5,8802,22,5,5,379
