id,options,content,互動性分組
1,"[""https://project1.kiantiong.com/1-1.mp3"",""https://project1.kiantiong.com/1-2.mp3""]",春嬌 ka 志明講春嬌的名,低
2,"[""https://project1.kiantiong.com/2-1.mp3"",""https://project1.kiantiong.com/2-2.mp3""]",春嬌 ka 志明講春嬌的電話號碼,低
3,"[""https://project1.kiantiong.com/3-1.mp3"",""https://project1.kiantiong.com/3-2.mp3""]",春嬌 ka 志明講家己蹛佇佗位,低
4,"[""https://project1.kiantiong.com/4-1.mp3"",""https://project1.kiantiong.com/4-2.mp3""]",春嬌 ka 志明講住址,低
5,"[""https://project1.kiantiong.com/5-1.mp3"",""https://project1.kiantiong.com/5-2.mp3""]",春嬌 ka 志明講伊个感情,低
6,"[""https://project1.kiantiong.com/6-1.mp3"",""https://project1.kiantiong.com/6-2.mp3""]",春嬌 ka 志明講欲歇睏,低
7,"[""https://project1.kiantiong.com/7-1.mp3"",""https://project1.kiantiong.com/7-2.mp3""]",春嬌 ka 志明講伊後禮拜欲出國,低
8,"[""https://project1.kiantiong.com/8-1.mp3"",""https://project1.kiantiong.com/8-2.mp3""]",春嬌 ka 志明講想欲去揣伊,低
9,"[""https://project1.kiantiong.com/9-1.mp3"",""https://project1.kiantiong.com/9-2.mp3""]",春嬌 ka 志明講真歹勢,低
10,"[""https://project1.kiantiong.com/10-1.mp3"",""https://project1.kiantiong.com/10-2.mp3""]",春嬌 ka 志明講「想欲共你攬1下」,低
11,"[""https://project1.kiantiong.com/11-1.mp3"",""https://project1.kiantiong.com/11-2.mp3""]",春嬌 ka 志明講半工攏講袂聽,爭議
12,"[""https://project1.kiantiong.com/12-1.mp3"",""https://project1.kiantiong.com/12-2.mp3""]",春嬌 ka 志明講故事,爭議
13,"[""https://project1.kiantiong.com/13-1.mp3"",""https://project1.kiantiong.com/13-2.mp3""]",春嬌 ka 志明講道理,爭議
14,"[""https://project1.kiantiong.com/14-1.mp3"",""https://project1.kiantiong.com/14-2.mp3""]",春嬌 ka 志明講規矩,爭議
15,"[""https://project1.kiantiong.com/15-1.mp3"",""https://project1.kiantiong.com/15-2.mp3""]",春嬌 ka 志明講價數,爭議
16,"[""https://project1.kiantiong.com/16-1.mp3"",""https://project1.kiantiong.com/16-2.mp3""]",春嬌 ka 志明講二句仔,爭議
17,"[""https://project1.kiantiong.com/17-1.mp3"",""https://project1.kiantiong.com/17-2.mp3""]",春嬌 ka 志明講八卦,爭議
18,"[""https://project1.kiantiong.com/18-1.mp3"",""https://project1.kiantiong.com/18-2.mp3""]",春嬌 ka 志明講看覓,爭議
19,"[""https://project1.kiantiong.com/19-1.mp3"",""https://project1.kiantiong.com/19-2.mp3""]",春嬌 ka 志明講台灣个民俗,爭議
20,"[""https://project1.kiantiong.com/20-1.mp3"",""https://project1.kiantiong.com/20-2.mp3""]",春嬌 ka 志明講幾若擺,爭議
21,"[""https://project1.kiantiong.com/21-1.mp3"",""https://project1.kiantiong.com/21-2.mp3""]",春嬌 ka 志明講政治,懸
22,"[""https://project1.kiantiong.com/22-1.mp3"",""https://project1.kiantiong.com/22-2.mp3""]",春嬌 ka 志明講1點鍾講袂完,懸
23,"[""https://project1.kiantiong.com/23-1.mp3"",""https://project1.kiantiong.com/23-2.mp3""]",春嬌 ka 志明講台語,懸
24,"[""https://project1.kiantiong.com/24-1.mp3"",""https://project1.kiantiong.com/24-2.mp3""]",春嬌 ka 志明講話,懸
25,"[""https://project1.kiantiong.com/25-1.mp3"",""https://project1.kiantiong.com/25-2.mp3""]",春嬌 ka 志明講袂清楚,懸
26,"[""https://project1.kiantiong.com/26-1.mp3"",""https://project1.kiantiong.com/26-2.mp3""]",春嬌 ka 志明講電話,懸
27,"[""https://project1.kiantiong.com/27-1.mp3"",""https://project1.kiantiong.com/27-2.mp3""]",春嬌 ka 志明講袂合,懸
28,"[""https://project1.kiantiong.com/28-1.mp3"",""https://project1.kiantiong.com/28-2.mp3""]",春嬌 ka 志明講和,懸
29,"[""https://project1.kiantiong.com/29-1.mp3"",""https://project1.kiantiong.com/29-2.mp3""]",春嬌 ka 志明講袂了,懸
30,"[""https://project1.kiantiong.com/30-1.mp3"",""https://project1.kiantiong.com/30-2.mp3""]",春嬌 ka 志明講甲真受氣,懸
